sensitivity_type,member,model,prompt_version,scenario,success_rate,failure_cost_usd,volume_per_month,layer3_fixed_monthly_usd,all_in_per_task_usd,monthly_total_usd,note
success_rate,LI_LINGHAO,deepseek/deepseek-v3.2,v2,-10 pp,0.8466666666666667,7.6,8000,200.0,1.1941048155999996,9552.838524799998,"Success rate clipped to [0%, 100%]. Includes owner-approved $200/month Layer 3 scenario assumption."
success_rate,LI_LINGHAO,deepseek/deepseek-v3.2,v2,-5 pp,0.8966666666666666,7.6,8000,200.0,0.8141048156000004,6512.838524800003,"Success rate clipped to [0%, 100%]. Includes owner-approved $200/month Layer 3 scenario assumption."
success_rate,LI_LINGHAO,deepseek/deepseek-v3.2,v2,+0 pp,0.9466666666666667,7.6,8000,200.0,0.4341048156000001,3472.8385248000004,"Success rate clipped to [0%, 100%]. Includes owner-approved $200/month Layer 3 scenario assumption."
success_rate,LI_LINGHAO,deepseek/deepseek-v3.2,v2,+5 pp,0.9966666666666667,7.6,8000,200.0,0.054104815599999745,432.8385247999979,"Success rate clipped to [0%, 100%]. Includes owner-approved $200/month Layer 3 scenario assumption."
success_rate,LI_LINGHAO,deepseek/deepseek-v3.2,v2,+10 pp,1.0,7.6,8000,200.0,0.02877148226666667,230.17185813333333,"Success rate clipped to [0%, 100%]. Includes owner-approved $200/month Layer 3 scenario assumption."
success_rate,ZHOU_SIHAN,deepseek/deepseek-v3.2,v1,-10 pp,0.7533333333333334,7.6,8000,200.0,1.9035519814133326,15228.415851306661,"Success rate clipped to [0%, 100%]. Includes owner-approved $200/month Layer 3 scenario assumption."
success_rate,ZHOU_SIHAN,deepseek/deepseek-v3.2,v1,-5 pp,0.8033333333333333,7.6,8000,200.0,1.5235519814133331,12188.415851306665,"Success rate clipped to [0%, 100%]. Includes owner-approved $200/month Layer 3 scenario assumption."
success_rate,ZHOU_SIHAN,deepseek/deepseek-v3.2,v1,+0 pp,0.8533333333333334,7.6,8000,200.0,1.1435519814133328,9148.415851306663,"Success rate clipped to [0%, 100%]. Includes owner-approved $200/month Layer 3 scenario assumption."
success_rate,ZHOU_SIHAN,deepseek/deepseek-v3.2,v1,+5 pp,0.9033333333333334,7.6,8000,200.0,0.7635519814133326,6108.41585130666,"Success rate clipped to [0%, 100%]. Includes owner-approved $200/month Layer 3 scenario assumption."
success_rate,ZHOU_SIHAN,deepseek/deepseek-v3.2,v1,+10 pp,0.9533333333333334,7.6,8000,200.0,0.3835519814133331,3068.4158513066645,"Success rate clipped to [0%, 100%]. Includes owner-approved $200/month Layer 3 scenario assumption."
success_rate,CHEN_MINGSONG,google/gemini-2.5-flash-lite,v2,-10 pp,0.0,7.6,8000,200.0,7.6269613666666665,61015.69093333333,"Success rate clipped to [0%, 100%]. Includes owner-approved $200/month Layer 3 scenario assumption."
